site.plot.subplot,Site,GN_Rank,Plot,Subplot,Dice,Clone,stem,Ldraba.cvr,Texture,pH,Salts,OM,Nitrate,K,S,Zn,Fe,Mn,Cu,Mg,Na,CEC,P,Sand,Silt,Clay,canopy,grass,forb,woody,bare,litter
2.2.7,2,5,2,7,0.826086957,0,5,40,Sandy Clay Loam,7.8,0.22,4.3,15.7,469,16,1.36,13.9,4.3,1.38,277,10,17,37,55,23,22,0,20,5,0,10,25
2.2.8,2,5,2,8,1,1,6,15,Sandy Clay Loam,8,0.14,4.5,2.1,377,14,1.2,9.7,5.3,1.33,244,10,18.6,37,65,13,22,0,75,5,0,0,5
2.2.9,2,5,2,9,0.979591837,1,35,25,Loamy Sand,6.6,0.09,5,1.4,251,16,2.87,46.6,7.1,1.15,226,8,9.5,22,83,7,10,2,65,0,0,0,10
2.3.11,2,5,3,11,0.893617021,0,17,10,Sandy Loam,7.9,0.18,5.8,0.6,394,14,1.4,11.5,4.9,1.04,245,13,18.3,32,53,27,20,0,75,0,0,10,5
2.3.12,2,5,3,12,0.76923077,0,15,20,Sandy Clay Loam,8,0.21,5.3,1.6,364,15,1.6,11,5.3,1.04,239,9,18.9,45,51,27,22,0,55,10,0,0,15
2.3.13,2,5,3,13,0.731707317,0,14,15,Sandy Clay Loam,8,0.18,4.5,0.6,409,15,1.38,10.9,4.8,1.1,218,18,18.5,26,57,21,22,0,75,0,0,0,10
2.3.14,2,5,3,14,0.979591837,1,6,10,Loam,8.1,0.17,4.1,1.6,365,13,1.3,11.8,3.9,0.91,224,11,19.6,35,48,31,21,0,65,5,0,0,20
2.3.15,2,5,3,15,1,1,25,40,Loam,7.9,0.2,4.8,2.4,346,12,1.49,10.1,5.7,1.6,226,11,19.9,39,51,28,21,0,10,0,0,0,50
3.1.1,3,3,1,1,0.875,0,43,25,Sandy Loam,8.2,0.16,2.7,0.4,202,9,5.88,17.5,6,5.91,462,18,15.5,93,59,24,17,0,50,0,0,0,25
3.1.2,3,3,1,2,0.875,0,13,10,Loam,8.2,0.16,3.2,0.4,255,8,7.99,23.9,6.5,8.76,513,17,17.7,101,51,28,21,0,40,1,0,0,49
3.1.3,3,3,1,3,0.893617021,0,21,20,Sandy Clay Loam,8.2,0.16,2.7,0.4,240,9,6.21,18.4,5.9,6.8,440,19,15.5,58,56,23,21,0,20,0,0,0,60
3.1.4,3,3,1,4,0.916666666,1,20,15,Sandy Loam,7.6,0.11,2.6,0.7,242,8,10,27.8,7.4,6.49,260,13,10.5,100,73,14,13,0,35,0,0,0,50
3.1.5,3,3,1,5,0.916666666,1,7,5,Sandy Clay Loam,8.1,0.17,3.2,0.7,286,11,8.16,25.4,5.9,9.23,457,18,16.4,89,57,20,23,0,30,5,0,0,60
3.2.10,3,3,2,10,0.930232558,1,14,20,Loam,8,0.23,5.4,1.1,604,13,10.5,30.4,6.3,6.72,490,21,16.8,108,48,29,23,0,55,10,0,0,15
3.2.6,3,3,2,6,0.690909091,0,17,15,Loam,7.5,0.23,4.8,1.6,489,25,18.51,43,7.4,7.15,356,25,15.6,113,48,29,23,11,55,20,0,0,10
3.2.7,3,3,2,7,0.936170213,1,4,15,Loam,8,0.25,5.7,1.5,378,17,12.25,23.8,4.9,7.29,514,26,22.8,99,28,49,23,0,60,5,0,0,20
3.2.8,3,3,2,8,0.926829269,1,8,10,Sandy Clay Loam,7.8,0.15,3.7,0.4,366,13,9.89,28.9,5.6,6.49,424,13,14.9,75,50,27,23,0,75,5,0,0,10
